                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6199,                 1.8405,                 2.0015,                 0.6613,                0.64693,                0.62018,                0.44041,                 1.8177,                 1.8978,                 1.6226,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.6459,                 1.8894,                 2.0109,                0.70155,                0.60148,                0.64443,                0.42179,                 1.9147,                 2.5141,                 1.6447,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.5523,                 1.7666,                 1.9847,                0.74198,                0.55959,                0.60015,                0.43967,                 1.7552,                 1.9761,                 1.5321,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.4906,                 1.7317,                 1.9645,                0.75659,                0.63606,                0.65392,                0.46382,                 1.8729,                 1.8663,                 1.5448,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.5548,                 1.7823,                 1.9591,                0.47745,                0.68506,                 0.6502,                0.45122,                 1.8781,                 1.8802,                 1.5526,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.5119,                 1.7786,                 1.9546,                0.80046,                0.57545,                0.68654,                0.48505,                  1.835,                  1.776,                  1.495,              0.0006139,              0.0006139,              0.0006139
                     41,                 1.4762,                 1.7417,                 1.9637,                0.73747,                0.63755,                0.67856,                0.48618,                 1.6894,                 1.9839,                 1.4459,               0.000604,               0.000604,               0.000604
                     42,                 1.4663,                  1.701,                 1.9212,                0.87343,                0.54829,                0.67823,                0.50929,                  1.655,                 1.7732,                 1.4925,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.4639,                 1.6539,                  1.938,                0.84812,                0.59691,                0.66184,                0.49602,                 1.5319,                 1.6818,                 1.4595,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.4474,                 1.7036,                 1.9463,                0.76766,                0.59084,                0.64582,                0.45604,                 1.7131,                 1.9267,                 1.4927,              0.0005743,              0.0005743,              0.0005743
                     45,                 1.4455,                 1.6263,                 1.9262,                0.85582,                0.62184,                0.68221,                0.51258,                 1.5429,                 1.7498,                 1.4506,              0.0005644,              0.0005644,              0.0005644
                     46,                 1.5072,                 1.6257,                 1.9183,                0.82521,                0.58086,                0.72074,                0.50406,                 1.8576,                 1.9063,                 1.4832,              0.0005545,              0.0005545,              0.0005545
                     47,                  1.361,                 1.6503,                 1.9217,                0.75866,                0.67845,                0.65038,                0.51266,                 1.4622,                 1.8287,                 1.4253,              0.0005446,              0.0005446,              0.0005446
                     48,                  1.427,                 1.5264,                 1.9047,                0.88881,                0.53341,                0.64583,                0.49494,                 1.5423,                 1.8127,                 1.4611,              0.0005347,              0.0005347,              0.0005347
                     49,                 1.3948,                 1.5444,                 1.8798,                0.93032,                0.58891,                0.68109,                0.51749,                 1.5449,                 1.7081,                 1.4353,              0.0005248,              0.0005248,              0.0005248
                     50,                  1.397,                 1.5249,                 1.8974,                  0.841,                0.62255,                0.66837,                0.53116,                 1.4277,                 1.6227,                 1.4118,              0.0005149,              0.0005149,              0.0005149
                     51,                 1.4539,                 1.5346,                 1.9115,                0.80506,                0.66358,                0.73362,                 0.5677,                 1.5289,                 1.6945,                 1.4292,               0.000505,               0.000505,               0.000505
                     52,                 1.3654,                 1.4704,                 1.8685,                0.81959,                0.65061,                0.67813,                 0.5103,                  1.678,                 1.8494,                  1.436,              0.0004951,              0.0004951,              0.0004951
