                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.63737,                0.81982,                 1.0015,                0.72071,                0.63781,                0.68212,                0.54378,                0.72018,                0.77118,                0.92529,             0.00080401,             0.00080401,             0.00080401
                     37,                0.62021,                0.80236,                0.99485,                0.67591,                0.67393,                0.75643,                 0.6135,                0.72946,                0.63779,                 0.9144,             0.00080101,             0.00080101,             0.00080101
                     38,                0.61714,                0.79058,                0.97394,                0.64116,                0.67695,                 0.7169,                 0.5721,                0.68894,                0.69165,                 0.8694,             0.00079801,             0.00079801,             0.00079801
                     39,                0.57456,                0.74142,                0.96025,                 0.8602,                 0.6187,                0.76819,                0.62209,                0.68212,                0.61509,                0.84461,             0.00079501,             0.00079501,             0.00079501
                     40,                0.57187,                0.71392,                0.94961,                0.82673,                0.71143,                0.81381,                0.65421,                0.70203,                0.57158,                0.84546,             0.00079201,             0.00079201,             0.00079201
                     41,                0.58799,                 0.7179,                 0.9547,                0.85613,                0.70315,                0.83887,                0.67585,                0.66537,                0.58987,                0.85488,             0.00078901,             0.00078901,             0.00078901
                     42,                0.56411,                0.71729,                0.96229,                0.74714,                0.75893,                0.82349,                0.65032,                0.67319,                0.60499,                0.82418,             0.00078601,             0.00078601,             0.00078601
                     43,                0.57239,                0.69589,                0.94796,                0.82345,                 0.7398,                0.84309,                0.68975,                0.62896,                0.54455,                0.83678,             0.00078301,             0.00078301,             0.00078301
                     44,                0.52644,                0.65208,                0.95056,                0.78268,                0.69718,                0.76751,                0.62701,                 0.6775,                0.59931,                0.86171,             0.00078001,             0.00078001,             0.00078001
                     45,                 0.5896,                0.69583,                0.95384,                0.85672,                0.75913,                0.85424,                0.69336,                0.64342,                0.53058,                0.82747,             0.00077701,             0.00077701,             0.00077701
                     46,                0.53529,                0.69993,                0.93478,                0.82512,                0.73784,                 0.8201,                0.67091,                0.67868,                0.65081,                0.85687,             0.00077401,             0.00077401,             0.00077401
                     47,                0.55401,                0.68283,                0.95102,                0.90145,                0.69851,                0.84372,                0.67523,                0.74127,                0.62786,                0.87343,             0.00077101,             0.00077101,             0.00077101
                     48,                0.55929,                0.70287,                0.95336,                0.82577,                0.78331,                0.86186,                0.68569,                0.69492,                0.57146,                0.87023,             0.00076801,             0.00076801,             0.00076801
                     49,                0.53872,                0.67302,                0.94341,                0.84483,                0.77319,                0.87195,                0.72075,                  0.618,                0.52547,                0.80771,             0.00076501,             0.00076501,             0.00076501
                     50,                0.56736,                0.67507,                0.95502,                0.87237,                0.66748,                0.78214,                0.63991,                0.63324,                0.54724,                0.81864,             0.00076201,             0.00076201,             0.00076201
                     51,                0.55772,                 0.6686,                0.93788,                0.83405,                0.69028,                0.82141,                0.66317,                0.67415,                 0.6061,                0.82974,             0.00075902,             0.00075902,             0.00075902
                     52,                0.51784,                0.65055,                0.93358,                 0.8537,                0.77727,                0.84788,                0.69657,                0.63726,                0.50963,                0.82202,             0.00075602,             0.00075602,             0.00075602
                     53,                0.51477,                 0.6316,                 0.9317,                0.90805,                0.73206,                0.85503,                0.70797,                0.61005,                0.48295,                0.81584,             0.00075302,             0.00075302,             0.00075302
                     54,                0.51682,                0.63169,                0.93088,                0.87378,                0.71748,                0.86517,                0.71763,                0.61932,                0.51081,                0.82055,             0.00075002,             0.00075002,             0.00075002
                     55,                0.49826,                0.61097,                0.91781,                0.83106,                0.76731,                 0.8627,                0.70889,                 0.6089,                0.48659,                0.81044,             0.00074702,             0.00074702,             0.00074702
                     56,                0.51576,                0.59437,                 0.9222,                0.85128,                0.75698,                0.84929,                0.69587,                0.62759,                 0.5394,                0.81571,             0.00074402,             0.00074402,             0.00074402
                     57,                0.49937,                0.59378,                0.91897,                0.74937,                0.70712,                0.77588,                  0.642,                0.58221,                0.53256,                0.78885,             0.00074102,             0.00074102,             0.00074102
                     58,                0.54763,                0.63666,                0.93394,                0.87641,                0.73128,                0.85517,                0.68483,                0.62791,                0.57434,                0.80787,             0.00073802,             0.00073802,             0.00073802
                     59,                0.49888,                 0.5967,                0.92215,                0.79077,                0.81033,                0.86209,                0.71542,                0.59071,                0.48679,                0.81677,             0.00073502,             0.00073502,             0.00073502
                     60,                0.52077,                0.61753,                0.92494,                0.91406,                0.79565,                0.89146,                0.73501,                 0.6034,                0.47859,                0.78915,             0.00073202,             0.00073202,             0.00073202
                     61,                0.49605,                0.63224,                0.92703,                0.87507,                0.76853,                0.89472,                0.72105,                0.64561,                0.48489,                0.82391,             0.00072902,             0.00072902,             0.00072902
                     62,                0.52386,                0.60308,                0.92132,                0.83752,                0.80274,                0.87432,                0.70252,                0.62546,                0.50265,                 0.8061,             0.00072602,             0.00072602,             0.00072602
                     63,                0.47718,                0.57554,                0.91263,                0.90149,                   0.77,                0.86676,                0.73638,                0.56645,                0.43831,                 0.7979,             0.00072302,             0.00072302,             0.00072302
                     64,                0.48894,                0.58635,                0.91526,                0.92507,                0.76242,                0.88625,                0.74887,                0.54218,                0.39777,                0.76862,             0.00072002,             0.00072002,             0.00072002
                     65,                0.46982,                0.56272,                0.91422,                0.88634,                0.75182,                 0.8682,                0.72043,                  0.575,                0.41462,                0.78525,             0.00071702,             0.00071702,             0.00071702
                     66,                0.50105,                0.58177,                0.91259,                0.88572,                0.74898,                0.85779,                0.72045,                0.56556,                0.46049,                0.78485,             0.00071402,             0.00071402,             0.00071402
                     67,                0.47991,                0.57308,                 0.9073,                0.92713,                0.74339,                0.87679,                0.73207,                0.60304,                0.42165,                0.79464,             0.00071102,             0.00071102,             0.00071102
                     68,                 0.4852,                0.56315,                0.90784,                0.83149,                0.79314,                0.86731,                0.71329,                0.58437,                0.45601,                0.77862,             0.00070802,             0.00070802,             0.00070802
                     69,                0.46998,                 0.5428,                0.89902,                0.91429,                0.79505,                0.88954,                0.72816,                0.59199,                0.44417,                0.78942,             0.00070502,             0.00070502,             0.00070502
                     70,                0.45996,                0.52508,                0.90038,                0.88359,                0.79077,                0.88658,                0.74577,                0.54887,                0.41151,                0.77016,             0.00070202,             0.00070202,             0.00070202
                     71,                0.47811,                0.55101,                 0.9076,                0.91606,                0.78211,                0.90385,                 0.7423,                0.58588,                0.43799,                0.77726,             0.00069902,             0.00069902,             0.00069902
                     72,                0.45903,                0.52457,                0.89914,                0.89181,                0.79977,                0.88728,                0.75545,                0.53356,                0.38772,                0.75696,             0.00069602,             0.00069602,             0.00069602
                     73,                0.45235,                0.51857,                 0.9003,                0.91524,                0.79684,                0.88774,                0.74587,                0.56377,                0.42981,                0.79125,             0.00069302,             0.00069302,             0.00069302
                     74,                0.46967,                0.52748,                0.90166,                0.90323,                0.75226,                0.87641,                0.73568,                0.59443,                0.43962,                0.77939,             0.00069002,             0.00069002,             0.00069002
                     75,                0.45969,                0.54403,                0.90712,                0.85253,                0.80424,                0.88721,                0.74632,                 0.5822,                0.39521,                0.78087,             0.00068702,             0.00068702,             0.00068702
                     76,                0.46684,                0.53621,                0.90069,                0.91496,                0.79421,                 0.9027,                 0.7632,                0.56303,                0.39317,                0.76944,             0.00068402,             0.00068402,             0.00068402
                     77,                0.44297,                0.51654,                0.89196,                0.93434,                0.79211,                0.91233,                0.75029,                0.56664,                0.42513,                0.76543,             0.00068102,             0.00068102,             0.00068102
                     78,                0.45828,                0.52869,                0.89392,                0.90677,                0.78642,                0.88668,                 0.7388,                0.56724,                0.40339,                0.76546,             0.00067802,             0.00067802,             0.00067802
                     79,                0.45538,                0.55175,                0.89824,                0.95204,                0.79897,                0.90273,                0.74989,                0.60725,                0.46285,                0.80028,             0.00067502,             0.00067502,             0.00067502
                     80,                0.45503,                0.51185,                0.90029,                0.93754,                0.79225,                0.89553,                0.74784,                0.54866,                0.37391,                0.75938,             0.00067202,             0.00067202,             0.00067202
                     81,                0.46024,                0.50754,                0.90639,                0.95382,                0.79397,                 0.8941,                0.73963,                0.56428,                0.43667,                0.77678,             0.00066902,             0.00066902,             0.00066902
                     82,                0.47508,                0.52883,                0.90365,                0.91411,                0.80318,                0.90243,                0.75724,                0.55537,                0.40685,                0.77417,             0.00066602,             0.00066602,             0.00066602
                     83,                0.42744,                0.52117,                0.89468,                0.92539,                0.77376,                0.86747,                0.72968,                0.56875,                0.44875,                0.76289,             0.00066302,             0.00066302,             0.00066302
                     84,                0.46663,                0.53963,                0.89767,                0.90791,                0.81572,                0.90762,                0.76289,                0.57237,                  0.428,                 0.7821,             0.00066002,             0.00066002,             0.00066002
                     85,                0.44431,                0.53007,                 0.8975,                0.90052,                0.81868,                0.90595,                0.75586,                0.56859,                0.40986,                 0.7675,             0.00065703,             0.00065703,             0.00065703
                     86,                0.45487,                0.52149,                0.89763,                0.91174,                0.80169,                0.89638,                0.75124,                0.56056,                0.37601,                0.75761,             0.00065403,             0.00065403,             0.00065403
                     87,                0.44731,                0.50712,                0.89516,                0.91958,                0.82857,                0.90516,                0.76692,                0.54586,                0.40782,                0.76746,             0.00065103,             0.00065103,             0.00065103
                     88,                0.42735,                0.48699,                0.89908,                0.89106,                0.82809,                0.91901,                0.76021,                0.53231,                0.37112,                0.75616,             0.00064803,             0.00064803,             0.00064803
                     89,                0.44713,                0.52238,                0.89576,                0.93154,                0.79871,                0.91428,                0.75769,                0.57932,                0.42162,                 0.7735,             0.00064503,             0.00064503,             0.00064503
                     90,                 0.4293,                0.47906,                0.88857,                0.92696,                0.80515,                 0.9109,                0.76036,                0.54068,                 0.3803,                0.75926,             0.00064203,             0.00064203,             0.00064203
                     91,                0.41121,                0.48422,                0.88974,                0.88813,                0.80017,                0.88949,                0.74781,                0.57841,                0.41845,                0.76546,             0.00063903,             0.00063903,             0.00063903
                     92,                 0.4274,                0.50415,                0.88874,                0.91239,                0.82059,                0.90569,                0.75669,                0.56745,                0.40024,                0.76694,             0.00063603,             0.00063603,             0.00063603
                     93,                0.45035,                0.52075,                0.89088,                 0.9201,                0.80454,                0.91347,                0.76137,                0.57957,                 0.4043,                0.77641,             0.00063303,             0.00063303,             0.00063303
                     94,                0.45928,                0.53852,                0.89632,                0.89377,                 0.7752,                0.87331,                0.73572,                0.54696,                0.39374,                0.76762,             0.00063003,             0.00063003,             0.00063003
                     95,                0.44639,                0.50168,                0.88865,                0.87744,                0.82268,                 0.9066,                0.75923,                0.57536,                0.40959,                0.75825,             0.00062703,             0.00062703,             0.00062703
                     96,                0.46523,                0.49916,                0.88834,                0.92501,                0.79993,                  0.885,                0.74357,                0.55142,                0.37067,                 0.7654,             0.00062403,             0.00062403,             0.00062403
                     97,                0.42326,                0.48043,                0.88786,                 0.9016,                0.79667,                0.88697,                0.75601,                0.53128,                0.35234,                0.75355,             0.00062103,             0.00062103,             0.00062103
                     98,                0.40923,                0.47692,                0.88748,                0.91285,                0.82178,                0.90945,                0.76046,                0.53262,                0.35358,                0.75151,             0.00061803,             0.00061803,             0.00061803
                     99,                 0.4462,                0.50908,                0.89062,                0.93474,                 0.7963,                0.90352,                0.75779,                 0.5547,                0.36997,                0.75066,             0.00061503,             0.00061503,             0.00061503
                    100,                0.42723,                0.47772,                0.89385,                0.90148,                0.85792,                0.93889,                  0.768,                0.57122,                  0.379,                0.76632,             0.00061203,             0.00061203,             0.00061203
                    101,                 0.4234,                0.49432,                0.87997,                0.91192,                 0.7924,                0.90815,                0.75268,                 0.5756,                0.41107,                 0.7755,             0.00060903,             0.00060903,             0.00060903
                    102,                0.39816,                0.47291,                0.87635,                0.86805,                0.81461,                0.91093,                0.77415,                0.50888,                0.36466,                0.75073,             0.00060603,             0.00060603,             0.00060603
                    103,                 0.4139,                0.48284,                0.87929,                0.87373,                0.82856,                0.92794,                0.76543,                0.54266,                0.36983,                0.75699,             0.00060303,             0.00060303,             0.00060303
                    104,                0.42907,                0.46954,                 0.8863,                0.91307,                0.81898,                0.91039,                0.77093,                0.55642,                0.34358,                0.76602,             0.00060003,             0.00060003,             0.00060003
                    105,                0.40492,                0.47741,                0.88602,                 0.9276,                0.81707,                0.91945,                0.77674,                 0.5335,                0.36587,                 0.7428,             0.00059703,             0.00059703,             0.00059703
                    106,                0.43413,                0.48662,                0.88074,                0.90556,                0.82994,                 0.9137,                0.76804,                0.54503,                0.37302,                0.76345,             0.00059403,             0.00059403,             0.00059403
                    107,                0.42874,                0.47181,                0.89093,                0.89892,                0.83457,                0.92452,                0.76919,                0.57689,                0.39681,                0.75855,             0.00059103,             0.00059103,             0.00059103
                    108,                0.43891,                0.46196,                0.88614,                0.95588,                0.76248,                0.89914,                0.76107,                0.52437,                0.35433,                0.75312,             0.00058803,             0.00058803,             0.00058803
                    109,                0.44081,                0.46917,                0.87776,                0.89136,                0.86329,                0.91415,                0.76244,                0.51516,                0.35265,                0.74549,             0.00058503,             0.00058503,             0.00058503
                    110,                0.42768,                0.48755,                0.88272,                 0.9045,                0.82837,                0.91778,                0.76786,                0.53544,                0.39145,                0.75596,             0.00058203,             0.00058203,             0.00058203
                    111,                 0.4179,                0.48461,                 0.8781,                0.92335,                0.81839,                0.91695,                0.77102,                0.54165,                0.37286,                0.76297,             0.00057903,             0.00057903,             0.00057903
                    112,                0.40703,                0.46561,                0.88153,                0.93074,                0.81497,                 0.9279,                0.77503,                0.56013,                0.37849,                0.76008,             0.00057603,             0.00057603,             0.00057603
                    113,                0.39738,                0.45262,                0.88296,                0.91957,                0.81703,                 0.9144,                0.76669,                0.52656,                0.34305,                0.75527,             0.00057303,             0.00057303,             0.00057303
                    114,                0.40986,                 0.4465,                0.87675,                0.93223,                0.82503,                0.92205,                0.78177,                0.52713,                0.33175,                0.74817,             0.00057003,             0.00057003,             0.00057003
                    115,                0.40102,                0.47673,                0.88186,                0.92944,                0.81122,                0.92954,                0.77862,                0.52513,                0.36983,                0.74545,             0.00056703,             0.00056703,             0.00056703
                    116,                0.41122,                0.43576,                0.88523,                0.93859,                0.81837,                0.92281,                0.76893,                0.54582,                0.33762,                0.74847,             0.00056403,             0.00056403,             0.00056403
                    117,                0.41535,                0.45117,                 0.8813,                0.94316,                 0.8398,                0.94371,                 0.7832,                0.52552,                 0.3342,                 0.7541,             0.00056103,             0.00056103,             0.00056103
                    118,                0.39557,                0.43774,                0.87929,                0.90524,                0.83255,                0.93056,                0.78281,                0.51294,                0.33794,                0.74374,             0.00055804,             0.00055804,             0.00055804
                    119,                0.37665,                0.42411,                0.87783,                0.92133,                0.79706,                0.91705,                0.75722,                0.54259,                  0.345,                0.75085,             0.00055504,             0.00055504,             0.00055504
                    120,                0.37364,                0.43891,                0.87126,                0.88866,                0.84144,                0.93618,                0.78578,                0.52466,                0.35746,                0.74872,             0.00055204,             0.00055204,             0.00055204
                    121,                0.41193,                0.46319,                0.87368,                0.91904,                0.79999,                0.91902,                0.78234,                 0.5077,                0.34619,                0.75299,             0.00054904,             0.00054904,             0.00054904
                    122,                0.41206,                0.45775,                0.88126,                0.92672,                0.81289,                0.92518,                0.77606,                0.54514,                 0.3795,                0.76211,             0.00054604,             0.00054604,             0.00054604
                    123,                0.39895,                0.43293,                0.87609,                0.94363,                0.83075,                0.93519,                0.79098,                0.53335,                0.35336,                0.76175,             0.00054304,             0.00054304,             0.00054304
                    124,                0.39427,                0.44964,                0.87087,                0.91789,                0.83426,                0.91902,                0.77004,                0.53257,                0.35291,                0.75241,             0.00054004,             0.00054004,             0.00054004
                    125,                0.38952,                 0.4481,                0.87434,                 0.9334,                0.82538,                   0.93,                0.78613,                0.51475,                0.35391,                0.74257,             0.00053704,             0.00053704,             0.00053704
                    126,                0.38464,                0.43244,                0.87073,                0.95125,                0.81106,                0.92597,                0.77946,                0.52946,                0.34388,                0.75021,             0.00053404,             0.00053404,             0.00053404
                    127,                0.39433,                0.44154,                0.87062,                0.96148,                0.79866,                0.91481,                0.77649,                0.51217,                0.33101,                0.74733,             0.00053104,             0.00053104,             0.00053104
                    128,                 0.3919,                0.45771,                0.87454,                0.92527,                0.83805,                0.92283,                0.77977,                0.50147,                0.33792,                0.73841,             0.00052804,             0.00052804,             0.00052804
                    129,                0.39451,                0.44591,                 0.8708,                0.90484,                0.82254,                 0.9218,                0.78394,                0.51051,                0.35908,                0.74111,             0.00052504,             0.00052504,             0.00052504
                    130,                0.39838,                0.44698,                0.87346,                 0.9288,                0.83073,                0.91154,                0.77812,                0.50603,                0.35717,                0.74014,             0.00052204,             0.00052204,             0.00052204
